Identifiant opération;Localisation station de mesure;Code station;X;Y;Identifiant point prélèvement;Date réalisation;Débit mesuré (m3/s);Débit station hydro (m3/s);Distance interpoint (m);Largeur plein bord évaluée (m);Largeur mouillée évaluée (m);Longueur réelle opération (m);Longueur théorique opération (m);Pente ligne d'eau (‰);Pente ligne d'eau évaluée;Decription habitat marginaux;Continuité ripisylve rive gauche;Continuité ripisylve rive droite;Nom réseau de mesure;Observations;Version protocole;Structure responsable;Cours d'eau;Nombre transect;D16 (mm);D50 (mm);D84 (mm);Indice Folk et Ward;Indice Fredle;Surface mouillée Q1 (m2);Largeur mouillée Q1 (m);Périmètre mouillé Q1 (m);Profondeur maximum Q1 (m);Profondeur moyenne Q1 (m);Rayon hydraulique Q1;Rapport largeur/Profondeur Q1;Coefficient rugosité;Surface mouillée Qb (m2);Largeur mouillée Qb (m);Périmètre mouillé Qb (m);Profondeur maximum Qb (m);Profondeur moyenne Qb (m);Rayon hydraulique Qb;Rapport largeur/Profondeur Qb;Force tractrice Qb  (N/m2);Débit plein bord (m3/s);Ecart type cote point;Coefficient variation cote point;Ecart type cote point en eau;Coefficient variation cote point en eau;Ecart type largeur mouillée Qb;Coefficient variation largeur mouillée Qb;Vitesse moyenne Qb (m/s);Ligne énergie Qb (m);Cote ligne énergie Qb;Nombre de Froude Qb;Puissance spécifique Qb (w/m2);Nombre de mouille;Profondeur moyenne des mouilles (m);Nombre de berge total;Nombre de berge artificialisée;Score ripisylve;Classe ripisylve;% fines;% graviers-cailloux;% blocs-rochers;Indice de Shannon granulo;Surface BV (km2);Proportion de roche imperméable BV;Code HER ou DOM dominant;Nom HER ou DOM dominant;Type DOM;Coefficient de sinuosité;Débit Q01 RHT (m3/s);Puissance Q01 RHT (w/m);Puissance spécifique Q01 RHT (w/m2);Station référence modèle;Résidu modèle Largeur mouillée Qb;Résidu modèle rapport largeur/profondeur Qb;Résidu modèle profondeur mouilles;Résidu modèle profondeur Qb;Résidu modèle pente ligne d'eau;Résidu modèle surface mouillée Qb;Résidu standardisé modèle largeur mouillée Qb;Résidu standardisé modèle rapport largeur/profondeur Qb;Résidu standardisé modèle profondeur mouilles;Résidu standardisé modèle profondeur Qb;Résidu standardisé modèle pente ligne d'eau;Résidu standardisé modèle surface mouillée Qb;IMG;Modèle référence IMG
54;LA ROUVRE A FAVEROLLES 2;3240100;456490;6846252;110896;11/09/2009;0,059;NA;0,53;8,21;3,7;115;114,94;3,04;NA;;4;4;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Rouvre;14;11,84;23;35,16;0,74;13,289;0,476;3,118;3,229;0,202;0,15;0,144;18,222;8,204;8,829;8,057;9,42;1,768;1,102;0,933;4,579;27,834;3,814;0,723;0,007;0,094;0,612;1,509;0,187;0,446;1,778;101,414;0,136;14,622;2;0,132;28;0;0,548;4;41,837;57,143;1,02;1,906;51,12;0,964;12;ARMORICAIN;0;1.142;3,576;106,645;13,237;0;0,03;-0,43;-0,068;0,446;0,031;0,342;0,138;-1,566;-0,165;2,221;0,03;1,091;5,21;ARMORICAIN
55;LA LAIZE A LAIZE-LA-VILLE 2;3245100;453546;6891060;111298;03/07/2009;0,638;NA;0,75;8,4;5,3;130;117,6;4,8;NA;;5;4;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Laize;16;42,84;62;123,28;0,76;51,319;1,779;6,26;6,439;0,46;0,291;0,281;15,447;12,054;8,641;9,068;10,098;1,356;0,959;0,858;6,813;40,392;6,515;0,568;0,006;0,154;0,543;1,619;0,179;0,768;1,386;100,624;0,251;34,587;3;0,123;32;5;0,801;3;10;56,429;33,571;1,994;156,13;0,339;12;ARMORICAIN;0;1.033;4,675;220,136;24,275;0;-0,316;-0,205;-0,34;-0,11;1,079;-0,451;-1,458;-0,748;-0,826;-0,546;1,048;-1,44;6,066;ARMORICAIN
56;LA VIRE A TRUTTEMER-LE-GRAND 1;3248401;418806;6860676;111706;02/07/2009;0,06;NA;0,4;4,1;2,9;65;57,4;3,5;NA;;3;4;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Vire;16;12;18;45,32;0,959;15,247;0,414;2,884;3,044;0,232;0,142;0,133;14,799;9,435;2,674;4,837;5,517;0,842;0,557;0,485;5,853;16,656;0,921;0,358;0,004;0,113;0,782;0,895;0,185;0,357;0,849;100,508;0,155;6,765;4;0,132;32;0;0,213;1;30,769;64,103;5,128;2,005;8,28;1;12;ARMORICAIN;0;1.011;0,953;32,721;6,765;0;0,276;0,097;0,274;0,177;-0,792;0,405;1,276;0,353;0,665;0,88;-0,769;1,293;5,236;ARMORICAIN
57;L'AY A LESSAY 1;3264000;373996;6905728;112740;01/09/2009;0,081;NA;0,4;4,33;2,8;120;60,62;3,3;NA;;4;1;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Ay;26;12,84;20,5;38,16;0,779;14,875;0,61;3,284;3,5;0,322;0,2;0,182;15,376;7,213;4,625;5,626;6,793;1,236;0,831;0,679;4,675;21,976;1,48;0,505;0,005;0,153;0,829;1,754;0,312;0,339;1,242;100,742;0,119;9,137;5;0,227;52;0;0,162;1;59,13;38,696;2,174;1,748;37,04;1;12;ARMORICAIN;0;1.098;8,399;271,901;48,33;0;-0,195;-0,359;0,538;0,172;-0,058;-0,082;-0,901;-1,308;1,306;0,856;-0,056;-0,262;4,689;ARMORICAIN
58;LA SÉE ROUSSE A SOURDEVAL 2;3269438;412872;6851649;113163;10/06/2009;NA;NA;0,31;2,92;2,189;60;40,88;10;NA;;5;4;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;See rousse;22;17;32;61,64;0,943;21,297;0,329;2,424;2,593;0,227;0,137;0,126;11,658;7,213;1,521;3,247;3,839;0,655;0,468;0,393;5,016;38,506;0,588;0,306;0,003;0,07;0,511;0,797;0,246;0,408;0,664;100,131;0,193;18,524;6;0,11;44;0;1,212;2;23,37;70,652;5,978;1,887;7,43;1;12;ARMORICAIN;0;1.031;1,112;109,087;33,601;0;-0,077;-0,041;0,11;-0,046;0,201;-0,084;-0,356;-0,148;0,266;-0,227;0,195;-0,269;1,461;ARMORICAIN
59;LA SÉLUNE A SAINT-AUBIN-DE-TERREGATTE 1;3272685;384098;6842109;113695;16/06/2009;3,6;NA;2,7;20,2;18,93;443;282,8;2,91;NA;;4;5;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Selune;21;35;53;84,16;0,604;39,512;8,818;18,904;19,138;0,698;0,487;0,48;29,291;12,353;40,892;25,304;26,325;2,172;1,625;1,557;11,803;44,456;36,609;0,977;0,01;0,228;0,49;6,394;0,253;0,931;2,217;100,931;0,234;43,143;4;0,128;42;0;0,801;2;16,561;79,618;3,822;1,652;771,09;1;12;ARMORICAIN;0;0;0,2;5,709;0,226;0;0,046;0,097;-0,596;-0,053;1,424;-0,001;0,213;0,354;-1,447;-0,264;1,383;-0,002;3,662;ARMORICAIN
87;VONNE à JAZENEUIL;4082740;476011;6599906;119472;26/06/2009;0,45;NA;0;18,07;13,17;0;252,98;2,41;NA;;5;3;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Vonne;15;29;49;75,32;0,661;36,132;4,142;12,162;12,302;0,511;0,343;0,339;27,274;4,556;14,708;17,087;17,498;1,207;0,873;0,852;14,579;20,132;2,955;0,496;0,005;0,201;0,596;2,478;0,145;0,203;1,209;100,394;0,07;4,162;4;0,117;30;0;NA;1;8,475;83,051;8,475;1,844;252,83;0,647;12;ARMORICAIN;0;1.013;32,075;758,32;44,38;0;0,117;0,481;-0,48;-0,351;0,645;-0,253;0,54;1,75;-1,164;-1,746;0,626;-0,806;6,633;ARMORICAIN
92;RAU DE MAGNEROLLES à NANTEUIL;4158950;458190;6595190;123329;04/06/2009;NA;NA;0;5,23;3,14;0;73,22;16,25;NA;;5;5;NA;;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau de magnerolles;15;71,84;117,5;184,16;0,628;82,372;0,325;2,177;2,3;0,23;0,138;0,125;12,906;2,968;1,672;4,502;4,863;0,591;0,365;0,336;8,049;53,589;0,306;0,481;0,005;0,17;1,109;0,905;0,201;0,208;0,593;99,768;0,116;11,295;3;0,179;30;0;NA;1;8,527;58,915;32,558;1,993;91,62;1;12;ARMORICAIN;0;0.941;13,468;2146,968;476,932;0;-0,795;0,044;0,131;-0,802;2,016;-1,726;-3,668;0,159;0,317;-3,994;1,959;-5,507;15,604;ARMORICAIN
94;VAUDELLE à SAINT-GERMAIN-DE-COULAMER;4113050;462302;6801698;121163;23/07/2009;0,244;NA;0,6;5,7;4,43;84;79,8;4,04;NA;;5;3;NA;Eaux colorées suite à précipitations de la veille;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Vaudelle;15;23;61,5;108,16;1,003;30,501;0,818;3,998;4,15;0,348;0,204;0,196;12,595;13,901;3,384;5,553;6,095;0,877;0,612;0,555;6,424;22,011;2,02;0,346;0,003;0,119;0,583;0,592;0,107;0,607;0,896;100,387;0,25;14,582;2;0,189;30;0;0,736;3;27,273;69,091;3,636;2,077;41,8;1;12;ARMORICAIN;0;1.137;3,139;124,406;22,401;0;-0,258;-0,06;0,334;-0,202;0,209;-0,478;-1,193;-0,22;0,81;-1,008;0,203;-1,526;4,96;ARMORICAIN
96;MAYENNE à LALACELLE;4123100;467512;6823781;121682;03/09/2009;0,004;NA;0,3;3,62;2,16;70;50,68;12,6;NA;Fosse d'affouillement avl buse de pont (amont station) + Nombreuses embâcles;4;5;NA;Le débit saisi a été mesuré à l'aval de la station. A mi-station, arrivée d'un exutoire de plan d'eau. Amont du rejet débit mesuré =0.003m3/s;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Mayenne;19;26;46,5;73;0,776;29,82;0,235;1,687;1,784;0,188;0,112;0,102;13,115;0,692;3,193;4,532;5,493;1,115;0,697;0,569;4,094;70,345;0,17;0,524;0,005;0,129;0,944;1,264;0,279;0,059;1,115;100,517;0,023;4,96;6;0,172;38;0;0,801;2;27,891;68,707;3,401;1,927;6,14;1;12;ARMORICAIN;0;1.049;0,789;97,525;21,517;0;0,336;-0,214;0,59;0,536;0,331;0,79;1,55;-0,78;1,432;2,668;0,322;2,519;9,271;ARMORICAIN
